"country","year","fdi_finance","fdi_mining","fdi_tech","cow_code","iso3c","USA","IdealPointDistance","agree","IdealPointFP.y","ln_fdi_finance","ln_fdi_mining","ln_fdi_tech","has_finance","has_mining","has_tech","gdp_constant","gdp_per_capita","trade_openness","distance_to_us","ln_gdp","ln_gdp_pc","ln_trade","ln_distance","country_fe","year_fe"
"Mexico",2008,13321,4013,-638,70,"MEX",2,2.7414585,0.272727272727273,-0.1467115,9.49717208297312,8.29754352935628,0,1,1,0,1084575522159.75,9826.3421836048,56.3652818862573,2000,27.7122098025571,9.1928220364256,4.03185339957079,7.60090245954208,"Mexico","2008"
"Mexico",2009,11461,4775,774,70,"MEX",2,2.4958611,0.375,-0.1001621,9.34679249511168,8.47135865507244,6.65286302935335,1,1,1,1016298775551.17,9074.1188145564,54.5917421313503,2000,27.647188492279,9.11318155409415,3.99988262829692,7.60090245954208,"Mexico","2009"
"Mexico",2010,12343,4912,-352,70,"MEX",2,2.42509153,0.41304347826087,-0.03756253,9.420925394043,8.49964003216865,0,1,1,0,1066822388048.98,9389.06722084275,59.2733845293851,2000,27.6957056152067,9.14730122976458,4.08216037775275,7.60090245954208,"Mexico","2010"
"Mexico",2011,11120,6376,-109,70,"MEX",2,2.52853114,0.495049504950495,-0.09553414,9.31659049181884,8.76045304631527,0,1,1,0,1103564231781.62,9575.93437788582,62.1623872764498,2000,27.7295662682728,9.16700839444551,4.12975011067022,7.60090245954208,"Mexico","2011"
"Mexico",2012,14705,7538,198,70,"MEX",2,2.4124718302,0.425531914893617,-0.0001568302,9.59601085275617,8.9278448262117,5.29330482472449,1,1,1,1142776194808.08,9782.51776305354,64.2579318900113,2000,27.7644816765016,9.1883521698819,4.1629051696966,7.60090245954208,"Mexico","2012"
"Mexico",2013,10791,8241,658,70,"MEX",2,2.6691787,0.457446808510638,-0.1607647,9.28656039788759,9.01699831189876,6.49072353450251,1,1,1,1152513808584.62,9738.71059803658,62.6916747735807,2000,27.7729665931638,9.18386400574152,4.13822866009223,7.60090245954208,"Mexico","2013"
"Mexico",2014,13516,8600,1028,70,"MEX",2,2.5456299,0.403061224489796,-0.0730999,9.51170343148383,9.05963375455148,6.93634273583405,1,1,1,1181370028689.69,9862.48125444199,64.0984090351215,2000,27.7976959221814,9.19649306446203,4.1604195435737,7.60090245954208,"Mexico","2014"
"Mexico",2015,12929,9280,357,70,"MEX",2,2.6049705,0.389473684210526,-0.1570235,9.4673054717659,9.13572457859539,5.8805329864007,1,1,1,1213294467716.88,10021.2386118827,70.412974676264,2000,27.8243604762946,9.21246198095963,4.2543775455617,7.60090245954208,"Mexico","2015"
"Mexico",2016,13634,9557,-392,70,"MEX",2,2.5500472,0.529166666666667,-0.1080672,9.52039529527969,9.1651337791381,0,1,1,0,1234800030119.7,10100.5021214015,75.6903034088551,2000,27.8419301539668,9.22034041658385,4.32665005988558,7.60090245954208,"Mexico","2016"
"Mexico",2017,15115,9753,-184,70,"MEX",2,2.50371526,0.389763779527559,0.04154474,9.62350906446938,9.18543273627,0,1,1,0,1257912134612.3,10193.7727193457,76.9521260407254,2000,27.8604744264673,9.22953229511933,4.34318348876255,7.60090245954208,"Mexico","2017"
"Mexico",2018,11998,9689,-31,70,"MEX",2,2.67933784,0.352331606217617,0.01453616,9.39257859196439,9.17884970488481,0,1,1,0,1282719194577.95,10296.8690928534,80.2126616568975,2000,27.8800033113392,9.23959515644137,4.38468137843253,7.60090245954208,"Mexico","2018"
"Mexico",2019,13607,8899,292,70,"MEX",2,2.567356331,0.308571428571429,0.002801669,9.5184131340757,9.09380655572023,5.68017260901707,1,1,1,1277682078094.17,10159.4448364319,77.4619722571128,2000,27.8760686757522,9.22615907755607,4.34978713538282,7.60090245954208,"Mexico","2019"
"Mexico",2020,12284,8768,-675,70,"MEX",2,2.5286779745,0.325136612021858,0.0009630255,9.41613428495528,9.07897805377936,0,1,1,0,1170944075446.26,9234.64362317923,76.8545557056016,2000,27.7888314414586,9.13071730208681,4.34191474871687,7.60090245954208,"Mexico","2020"
"Mexico",2021,10510,NA,675,70,"MEX",2,2.53509189,0.485380116959064,-0.02295689,9.26017760682335,NA,6.51619307604296,1,0,1,1241768434200.36,9728.05680032556,83.0692976357895,2000,27.8475576361632,9.18276944303816,4.41967517072663,7.60090245954208,"Mexico","2021"
"Mexico",2022,9070,NA,822,70,"MEX",2,2.15653863,0.566666666666667,-0.01043363,9.11283779061494,NA,6.71295620067707,1,0,1,1287835026749.81,10013.2479236143,88.7984855867186,2000,27.8839836505856,9.21166428757448,4.48636959564908,7.60090245954208,"Mexico","2022"
"Mexico",2023,10916,8187,1147,70,"MEX",2,2.222603904,0.558189655172414,-0.004913904,9.29807648628027,9.01042494678118,7.04577657687951,1,1,1,1331023107619.63,10259.1766616403,73.5788616365245,2000,27.9169690162875,9.23592786810129,4.2983577784578,7.60090245954208,"Mexico","2023"
